Stable ID	Sphinx	DocC
ID298	stringsandcharacters-comparingstrings	Comparing-Strings
ID299	stringsandcharacters-stringequality	
ID300	stringsandcharacters-prefixandsuffixequality	Prefix-and-Suffix-Equality
ID301	stringsandcharacters-unicoderepresentationsofstrings	Unicode-Representations-of-Strings
ID302	stringsandcharacters-utf8	
ID303	stringsandcharacters-utf16	
ID304	stringsandcharacters-unicodescalars	
ID305	LanguageGuide/Subscripts	
ID306	subscripts-subscriptsyntax	Subscript-Syntax
ID307	subscripts-subscriptusage	Subscript-Usage
ID308	subscripts-subscriptoptions	Subscript-Options
ID309	LanguageGuide/TheBasics	
ID310	thebasics-constantsandvariables	Constants-and-Variables
ID311	thebasics-declaringconstantsandvariables	Declaring-Constants-and-Variables
ID312	thebasics-typeannotations	Type-Annotations
ID313	thebasics-namingconstantsandvariables	Naming-Constants-and-Variables
ID314	thebasics-printingconstantsandvariables	Printing-Constants-and-Variables
ID315	thebasics-comments	Comments
ID316	thebasics-semicolons	Semicolons
ID317	thebasics-integers	Integers
ID318	thebasics-integerbounds	Integer-Bounds
ID319	thebasics-int	Int
ID320	thebasics-uint	UInt
ID321	thebasics-floatingpointnumbers	Floating-Point-Numbers
ID322	thebasics-typesafetyandtypeinference	Type-Safety-and-Type-Inference
ID323	thebasics-numericliterals	Numeric-Literals
ID324	thebasics-numerictypeconversion	Numeric-Type-Conversion
ID325	thebasics-integerconversion	Integer-Conversion
ID326	thebasics-integerandfloatingpointconversion	Integer-and-Floating-Point-Conversion
ID327	thebasics-typealiases	Type-Aliases
ID328	thebasics-booleans	Booleans
ID329	thebasics-tuples	Tuples
ID330	thebasics-optionals	Optionals
ID331	thebasics-nil	nil
ID332	thebasics-ifstatementsandforcedunwrapping	If-Statements-and-Forced-Unwrapping
ID333	thebasics-optionalbinding	Optional-Binding
ID334	thebasics-implicitlyunwrappedoptionals	Implicitly-Unwrapped-Optionals
ID335	thebasics-assertions	
ID336	thebasics-debuggingwithassertions	Debugging-with-Assertions
ID337	thebasics-whentouseassertions	
ID338	LanguageGuide/TypeCasting	
ID339	typecasting-definingaclasshierarchyfortypecasting	Defining-a-Class-Hierarchy-for-Type-Casting
ID340	typecasting-checkingtype	Checking-Type
ID341	typecasting-downcasting	Downcasting
ID342	typecasting-typecastingforanyandanyobject	Type-Casting-for-Any-and-AnyObject
ID343	typecasting-anyobject	
ID344	typecasting-any	
ID345	ReferenceManual/AboutTheLanguageReference	
ID346	introduction-howtoreadthegrammar	
ID347	ReferenceManual/Attributes	
ID348	attributes-declarationattributes	Declaration-Attributes
ID349	attributes-declarationattributesusedbyinterfacebuilder	Declaration-Attributes-Used-by-Interface-Builder
ID350	attributes-typeattributes	Type-Attributes
ID351	ReferenceManual/Declarations	
ID352	lexicalstructure-modulescope	
ID353	lexicalstructure-codeblocks	
ID354	declarations-importdeclaration	Import-Declaration
ID355	declarations-constantdeclaration	Constant-Declaration
ID356	declarations-variabledeclaration	Variable-Declaration
ID357	declarations-storedvariablesandvariablestoredproperties	
ID358	declarations-computedvariablesandcomputedproperties	Computed-Variables-and-Computed-Properties
ID359	declarations-storedvariableobserversandpropertyobservers	Stored-Variable-Observers-and-Property-Observers
ID360	declarations-staticvariableproperties	
ID361	declarations-typealiasdeclaration	Type-Alias-Declaration
ID362	declarations-functiondeclaration	Function-Declaration
ID364	declarations-enumerationdeclaration	Enumeration-Declaration
ID365	declarations-enumerationswithcasesofanytype	Enumerations-with-Cases-of-Any-Type
ID366	declarations-enumerationswithrawcasevalues	
ID367	declarations-structuredeclaration	Structure-Declaration
ID368	declarations-classdeclaration	Class-Declaration
ID369	declarations-protocoldeclaration	Protocol-Declaration
ID370	declarations-protocolpropertydeclaration	Protocol-Property-Declaration
ID371	declarations-protocolmethoddeclaration	Protocol-Method-Declaration
ID372	declarations-protocolinitializerdeclaration	Protocol-Initializer-Declaration
ID373	declarations-protocolsubscriptdeclaration	Protocol-Subscript-Declaration
ID374	declarations-protocolassociatedtypedeclaration	Protocol-Associated-Type-Declaration
ID375	declarations-initializerdeclaration	Initializer-Declaration
ID376	declarations-failableinitializers	Failable-Initializers
ID377	declarations-deinitializerdeclaration	Deinitializer-Declaration
ID378	declarations-extensiondeclaration	Extension-Declaration
ID379	declarations-subscriptdeclaration	Subscript-Declaration
ID380	declarations-operatordeclaration	Operator-Declaration
ID381	declarations-declarationmodifiers	Declaration-Modifiers
ID382	declarations-accesscontrollevels	Access-Control-Levels
ID383	ReferenceManual/Expressions	
ID384	expressions-prefixexpressions	Prefix-Expressions
ID385	expressions-binaryexpressions	
ID386	expressions-assignmentoperator	Assignment-Operator
ID387	expressions-ternaryconditionaloperator	Ternary-Conditional-Operator
ID388	expressions-type-castingoperators	Type-Casting-Operators
ID389	expressions-primaryexpressions	Primary-Expressions
ID390	expressions-literalexpression	Literal-Expression
ID391	expressions-selfexpression	Self-Expression
ID392	expressions-superclassexpression	Superclass-Expression
ID393	expressions-closureexpression	Closure-Expression
ID394	expressions-implicitmemberexpression	Implicit-Member-Expression
ID395	expressions-parenthesizedexpression	Parenthesized-Expression
ID396	expressions-wildcardexpression	Wildcard-Expression
ID397	expressions-postfixexpressions	Postfix-Expressions
ID398	expressions-functioncallexpression	Function-Call-Expression
ID399	expressions-initializerexpression	Initializer-Expression
ID400	expressions-explicitmemberexpression	Explicit-Member-Expression
ID401	expressions-postfixselfexpression	Postfix-Self-Expression
ID402	expressions-dynamictypeexpression	
ID403	expressions-subscriptexpression	Subscript-Expression
ID404	expressions-forced-valueexpression	Forced-Value-Expression
ID405	expression-optionalchainingoperator	
ID406	ReferenceManual/GenericParametersAndArguments	
ID407	genericparametersandarguments-genericparameterclause	Generic-Parameter-Clause
